# Region      : cellZone box
# Cells       : 2628800
# Volume      : 5.249270e-06
# Time        	volAverage(U)
1             	4.950414e-01
2             	2.696897e+00
3             	4.044179e+00
4             	4.305126e+00
5             	3.666414e+00
6             	2.742635e+00
7             	1.626840e+00
8             	8.182205e-01
9             	4.751405e-01
10            	5.645470e-01
11            	9.168716e-01
12            	1.357295e+00
13            	1.746514e+00
14            	1.977021e+00
15            	2.031307e+00
16            	1.953040e+00
17            	1.807336e+00
18            	1.655401e+00
19            	1.541401e+00
20            	1.485755e+00
21            	1.486475e+00
22            	1.526348e+00
23            	1.582143e+00
24            	1.633137e+00
25            	1.666542e+00
26            	1.678663e+00
27            	1.673041e+00
28            	1.656986e+00
29            	1.638357e+00
30            	1.623295e+00
31            	1.614952e+00
32            	1.613569e+00
33            	1.617294e+00
34            	1.623367e+00
35            	1.629222e+00
36            	1.633181e+00
37            	1.634645e+00
38            	1.633931e+00
39            	1.631885e+00
40            	1.629485e+00
41            	1.627521e+00
42            	1.626446e+00
43            	1.626356e+00
44            	1.627036e+00
45            	1.628101e+00
46            	1.629168e+00
47            	1.629959e+00
48            	1.630330e+00
49            	1.630287e+00
50            	1.629932e+00
51            	1.629412e+00
52            	1.628863e+00
53            	1.628395e+00
54            	1.628065e+00
55            	1.627896e+00
56            	1.627871e+00
57            	1.627944e+00
58            	1.628068e+00
59            	1.628215e+00
60            	1.628373e+00
61            	1.628535e+00
62            	1.628695e+00
63            	1.628860e+00
64            	1.629038e+00
65            	1.629211e+00
66            	1.629347e+00
67            	1.629410e+00
68            	1.629348e+00
69            	1.629173e+00
70            	1.628915e+00
71            	1.628638e+00
72            	1.628403e+00
73            	1.628258e+00
74            	1.628205e+00
75            	1.628216e+00
76            	1.628290e+00
77            	1.628413e+00
78            	1.628566e+00
79            	1.628726e+00
80            	1.628867e+00
81            	1.628972e+00
82            	1.629048e+00
83            	1.629112e+00
84            	1.629151e+00
85            	1.629139e+00
86            	1.629083e+00
87            	1.628996e+00
88            	1.628902e+00
89            	1.628787e+00
90            	1.628653e+00
91            	1.628517e+00
92            	1.628391e+00
93            	1.628314e+00
94            	1.628317e+00
95            	1.628407e+00
96            	1.628556e+00
97            	1.628746e+00
98            	1.628944e+00
99            	1.629118e+00
100           	1.629250e+00
101           	1.629324e+00
102           	1.629343e+00
103           	1.629307e+00
104           	1.629227e+00
105           	1.629118e+00
106           	1.628983e+00
107           	1.628805e+00
108           	1.628608e+00
109           	1.628422e+00
110           	1.628290e+00
111           	1.628247e+00
112           	1.628315e+00
113           	1.628448e+00
114           	1.628624e+00
115           	1.628789e+00
116           	1.628921e+00
117           	1.629038e+00
118           	1.629124e+00
119           	1.629150e+00
120           	1.629108e+00
121           	1.629024e+00
122           	1.628964e+00
123           	1.628928e+00
124           	1.628874e+00
125           	1.628808e+00
126           	1.628711e+00
127           	1.628584e+00
128           	1.628455e+00
129           	1.628368e+00
130           	1.628341e+00
131           	1.628374e+00
132           	1.628455e+00
133           	1.628570e+00
134           	1.628711e+00
135           	1.628845e+00
136           	1.628907e+00
137           	1.628883e+00
138           	1.628832e+00
139           	1.628820e+00
140           	1.628852e+00
141           	1.628890e+00
142           	1.628868e+00
143           	1.628765e+00
144           	1.628617e+00
145           	1.628452e+00
146           	1.628306e+00
147           	1.628217e+00
148           	1.628171e+00
149           	1.628137e+00
150           	1.628130e+00
151           	1.628169e+00
152           	1.628246e+00
153           	1.628325e+00
154           	1.628388e+00
155           	1.628428e+00
156           	1.628480e+00
157           	1.628557e+00
158           	1.628619e+00
159           	1.628619e+00
160           	1.628552e+00
161           	1.628430e+00
162           	1.628273e+00
163           	1.628132e+00
164           	1.628037e+00
165           	1.627977e+00
