# Region      : cellZone box
# Cells       : 2628800
# Volume      : 5.249270e-06
# Time        	volAverage(k)
1             	8.657411e-03
2             	1.117681e-02
3             	9.171489e-03
4             	1.212437e-02
5             	1.372487e-02
6             	1.239021e-02
7             	9.047372e-03
8             	7.634801e-03
9             	7.246534e-03
10            	6.340797e-03
11            	5.062544e-03
12            	4.290851e-03
13            	4.243479e-03
14            	4.630143e-03
15            	5.021664e-03
16            	5.133478e-03
17            	4.920078e-03
18            	4.507627e-03
19            	4.050187e-03
20            	3.646565e-03
21            	3.353148e-03
22            	3.192904e-03
23            	3.142147e-03
24            	3.149681e-03
25            	3.179603e-03
26            	3.190212e-03
27            	3.157440e-03
28            	3.075552e-03
29            	2.960222e-03
30            	2.831401e-03
31            	2.706158e-03
32            	2.595773e-03
33            	2.504870e-03
34            	2.431881e-03
35            	2.374252e-03
36            	2.324794e-03
37            	2.276387e-03
38            	2.226225e-03
39            	2.173551e-03
40            	2.118867e-03
41            	2.063939e-03
42            	2.011909e-03
43            	1.964309e-03
44            	1.921560e-03
45            	1.883364e-03
46            	1.848290e-03
47            	1.815881e-03
48            	1.785549e-03
49            	1.757031e-03
50            	1.730028e-03
51            	1.704297e-03
52            	1.680023e-03
53            	1.657155e-03
54            	1.636316e-03
55            	1.616898e-03
56            	1.599014e-03
57            	1.581676e-03
58            	1.565300e-03
59            	1.549163e-03
60            	1.533212e-03
61            	1.517199e-03
62            	1.501040e-03
63            	1.484432e-03
64            	1.468085e-03
65            	1.452087e-03
66            	1.436699e-03
67            	1.422421e-03
68            	1.409684e-03
69            	1.398593e-03
70            	1.389203e-03
71            	1.381009e-03
72            	1.373897e-03
73            	1.367474e-03
74            	1.361564e-03
75            	1.356269e-03
76            	1.351490e-03
77            	1.347223e-03
78            	1.343245e-03
79            	1.338873e-03
80            	1.333973e-03
81            	1.328389e-03
82            	1.322380e-03
83            	1.316798e-03
84            	1.311718e-03
85            	1.307540e-03
86            	1.303744e-03
87            	1.300831e-03
88            	1.298947e-03
89            	1.297425e-03
90            	1.296320e-03
91            	1.295717e-03
92            	1.296277e-03
93            	1.297525e-03
94            	1.298846e-03
95            	1.299955e-03
96            	1.299651e-03
97            	1.298517e-03
98            	1.296576e-03
99            	1.294009e-03
100           	1.291995e-03
101           	1.290870e-03
102           	1.291321e-03
103           	1.292429e-03
104           	1.294492e-03
105           	1.297084e-03
106           	1.300282e-03
107           	1.303796e-03
108           	1.308149e-03
109           	1.312576e-03
110           	1.317180e-03
111           	1.321176e-03
112           	1.323738e-03
113           	1.324752e-03
114           	1.325200e-03
115           	1.325500e-03
116           	1.326363e-03
117           	1.328179e-03
118           	1.331852e-03
119           	1.337792e-03
120           	1.345601e-03
121           	1.354390e-03
122           	1.362729e-03
123           	1.369958e-03
124           	1.376407e-03
125           	1.382621e-03
126           	1.388569e-03
127           	1.394408e-03
128           	1.400400e-03
129           	1.405333e-03
130           	1.410780e-03
131           	1.416562e-03
132           	1.423050e-03
133           	1.430343e-03
134           	1.438218e-03
135           	1.447482e-03
136           	1.458364e-03
137           	1.469804e-03
138           	1.480559e-03
139           	1.489856e-03
140           	1.497418e-03
141           	1.503436e-03
142           	1.508477e-03
143           	1.513526e-03
144           	1.519483e-03
145           	1.526304e-03
146           	1.534543e-03
147           	1.544039e-03
148           	1.554173e-03
149           	1.564036e-03
150           	1.573954e-03
151           	1.584020e-03
152           	1.593608e-03
153           	1.603028e-03
154           	1.612603e-03
155           	1.621050e-03
156           	1.628075e-03
157           	1.632756e-03
158           	1.636616e-03
159           	1.640449e-03
160           	1.645119e-03
161           	1.650545e-03
162           	1.657503e-03
163           	1.666740e-03
164           	1.677048e-03
165           	1.688354e-03
166           	1.699193e-03
167           	1.709390e-03
168           	1.718319e-03
169           	1.726648e-03
170           	1.734607e-03
171           	1.741778e-03
172           	1.747689e-03
173           	1.752053e-03
174           	1.754676e-03
175           	1.756910e-03
176           	1.759128e-03
177           	1.760543e-03
178           	1.762110e-03
179           	1.765330e-03
180           	1.771048e-03
181           	1.779385e-03
182           	1.789892e-03
183           	1.800870e-03
184           	1.800870e-03
185           	1.800870e-03
186           	1.800870e-03
187           	1.800870e-03
188           	1.800870e-03
189           	1.800870e-03
190           	1.800870e-03
191           	1.800870e-03
192           	1.800870e-03
193           	1.800870e-03
194           	1.800870e-03
195           	1.800870e-03
196           	1.800870e-03
197           	1.800870e-03
198           	1.800870e-03
199           	1.800870e-03
200           	1.778274e-03
201           	1.778274e-03
202           	1.778274e-03
203           	1.778274e-03
204           	1.778274e-03
205           	1.778274e-03
206           	1.765448e-03
207           	1.772704e-03
208           	1.786130e-03
209           	1.799338e-03
210           	1.810303e-03
211           	1.818339e-03
212           	1.825102e-03
213           	1.831595e-03
214           	1.838406e-03
215           	1.844904e-03
216           	1.850732e-03
217           	1.850732e-03
218           	1.844720e-03
219           	1.843049e-03
220           	1.843194e-03
221           	1.843459e-03
222           	1.842918e-03
223           	1.841975e-03
224           	1.841052e-03
225           	1.839910e-03
226           	1.839792e-03
227           	1.840296e-03
228           	1.840755e-03
229           	1.841906e-03
230           	1.842961e-03
231           	1.844720e-03
232           	1.847154e-03
233           	1.849554e-03
234           	1.850850e-03
235           	1.851398e-03
236           	1.850835e-03
237           	1.848922e-03
238           	1.845466e-03
239           	1.841649e-03
240           	1.838287e-03
241           	1.835582e-03
242           	1.834171e-03
243           	1.833707e-03
244           	1.832698e-03
245           	1.831626e-03
246           	1.830592e-03
247           	1.828417e-03
248           	1.826463e-03
249           	1.825509e-03
250           	1.825313e-03
251           	1.826673e-03
252           	1.828435e-03
253           	1.830490e-03
254           	1.832979e-03
255           	1.834876e-03
256           	1.835882e-03
257           	1.836382e-03
258           	1.836816e-03
259           	1.837652e-03
260           	1.838841e-03
261           	1.839419e-03
262           	1.840119e-03
263           	1.840618e-03
264           	1.840891e-03
265           	1.841194e-03
266           	1.841357e-03
267           	1.842560e-03
268           	1.845500e-03
269           	1.849067e-03
270           	1.853459e-03
271           	1.857389e-03
272           	1.860224e-03
273           	1.862100e-03
274           	1.862569e-03
275           	1.862528e-03
276           	1.862129e-03
277           	1.861310e-03
278           	1.860395e-03
279           	1.860402e-03
280           	1.860821e-03
281           	1.863004e-03
282           	1.864790e-03
283           	1.866139e-03
284           	1.867534e-03
285           	1.869246e-03
286           	1.870968e-03
287           	1.873176e-03
288           	1.875527e-03
289           	1.877618e-03
290           	1.879065e-03
291           	1.879841e-03
292           	1.880141e-03
293           	1.879369e-03
294           	1.877534e-03
295           	1.874732e-03
296           	1.872431e-03
297           	1.871296e-03
298           	1.872231e-03
299           	1.874468e-03
300           	1.877341e-03
301           	1.880460e-03
302           	1.883937e-03
303           	1.886426e-03
304           	1.889094e-03
305           	1.890614e-03
306           	1.892246e-03
307           	1.893153e-03
308           	1.892800e-03
309           	1.890407e-03
310           	1.886330e-03
311           	1.880662e-03
312           	1.875290e-03
313           	1.870068e-03
314           	1.865738e-03
315           	1.862795e-03
316           	1.861826e-03
317           	1.862899e-03
318           	1.865526e-03
319           	1.868945e-03
320           	1.872643e-03
321           	1.875943e-03
322           	1.878065e-03
323           	1.879600e-03
324           	1.879978e-03
325           	1.879258e-03
326           	1.877572e-03
327           	1.873911e-03
328           	1.869260e-03
329           	1.863225e-03
330           	1.856525e-03
331           	1.850595e-03
332           	1.846283e-03
333           	1.844297e-03
334           	1.844303e-03
335           	1.846430e-03
336           	1.850123e-03
337           	1.853802e-03
338           	1.858027e-03
339           	1.862473e-03
340           	1.866194e-03
341           	1.869269e-03
342           	1.871247e-03
343           	1.872766e-03
344           	1.873958e-03
345           	1.874256e-03
346           	1.873520e-03
347           	1.871615e-03
348           	1.869216e-03
349           	1.867008e-03
350           	1.865244e-03
351           	1.864101e-03
352           	1.863914e-03
353           	1.864692e-03
354           	1.865910e-03
355           	1.866712e-03
356           	1.867313e-03
357           	1.867791e-03
358           	1.868202e-03
359           	1.868848e-03
360           	1.868878e-03
361           	1.869050e-03
362           	1.869359e-03
363           	1.869753e-03
364           	1.869791e-03
365           	1.869236e-03
366           	1.868352e-03
367           	1.867731e-03
368           	1.867686e-03
369           	1.867887e-03
370           	1.869066e-03
371           	1.870888e-03
372           	1.873691e-03
373           	1.876294e-03
374           	1.877697e-03
375           	1.878996e-03
376           	1.880131e-03
377           	1.881593e-03
378           	1.883181e-03
379           	1.884946e-03
380           	1.886883e-03
381           	1.888504e-03
382           	1.889445e-03
383           	1.889525e-03
384           	1.888723e-03
385           	1.887104e-03
386           	1.884953e-03
387           	1.882857e-03
388           	1.879873e-03
389           	1.876845e-03
390           	1.873744e-03
391           	1.870672e-03
392           	1.868517e-03
393           	1.867741e-03
394           	1.868203e-03
395           	1.869782e-03
396           	1.871649e-03
397           	1.874328e-03
398           	1.876932e-03
399           	1.878641e-03
400           	1.879112e-03
401           	1.878432e-03
