# Region type : patch inlet
# Faces       : 7296
# Area        : 1.140000e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)
1             	1.697394e+03
2             	1.443871e+03
3             	8.760574e+02
4             	2.846247e+02
5             	-3.268088e+02
6             	-6.773741e+02
7             	-7.048093e+02
8             	-5.381615e+02
9             	-2.647098e+02
10            	-8.230335e+00
11            	1.801516e+02
12            	2.559802e+02
13            	2.354998e+02
14            	1.567871e+02
15            	5.969246e+01
16            	-2.108625e+01
17            	-6.808131e+01
18            	-7.969436e+01
19            	-6.449074e+01
20            	-3.539798e+01
21            	-4.975036e+00
22            	1.761540e+01
23            	2.846063e+01
24            	2.819126e+01
25            	2.043367e+01
26            	9.753772e+00
27            	8.534110e-02
28            	-6.175121e+00
29            	-8.344936e+00
30            	-7.079723e+00
31            	-3.751321e+00
32            	1.661423e-01
33            	3.519356e+00
34            	5.681506e+00
35            	6.552227e+00
36            	6.410708e+00
37            	5.710507e+00
38            	4.893994e+00
39            	4.269043e+00
40            	3.968512e+00
41            	3.973738e+00
42            	4.173458e+00
43            	4.429621e+00
44            	4.628492e+00
45            	4.710339e+00
46            	4.672574e+00
47            	4.555543e+00
48            	4.420373e+00
49            	4.328073e+00
50            	4.318639e+00
51            	4.402941e+00
52            	4.567057e+00
53            	4.775638e+00
54            	4.983811e+00
55            	5.151254e+00
56            	5.249172e+00
57            	5.265573e+00
58            	5.204546e+00
59            	5.086451e+00
60            	4.939303e+00
61            	4.791367e+00
62            	4.664820e+00
63            	4.571556e+00
64            	4.512734e+00
65            	4.485308e+00
66            	4.486655e+00
67            	4.517895e+00
68            	4.580146e+00
69            	4.672524e+00
70            	4.787720e+00
71            	4.912103e+00
72            	5.026293e+00
73            	5.112383e+00
74            	5.155499e+00
75            	5.147536e+00
76            	5.090779e+00
77            	4.999201e+00
78            	4.891473e+00
79            	4.786152e+00
80            	4.698519e+00
81            	4.638860e+00
82            	4.611900e+00
83            	4.617774e+00
84            	4.652926e+00
85            	4.713597e+00
86            	4.794841e+00
87            	4.888415e+00
88            	4.981694e+00
89            	5.063332e+00
90            	5.123139e+00
91            	5.148718e+00
92            	5.130963e+00
93            	5.069223e+00
94            	4.972132e+00
95            	4.852661e+00
96            	4.726128e+00
97            	4.612289e+00
98            	4.528625e+00
99            	4.491322e+00
100           	4.506529e+00
101           	4.572730e+00
102           	4.681221e+00
103           	4.816879e+00
104           	4.961491e+00
105           	5.095762e+00
106           	5.201606e+00
107           	5.266421e+00
108           	5.285266e+00
109           	5.261379e+00
110           	5.205465e+00
111           	5.126489e+00
112           	5.034675e+00
113           	4.935951e+00
114           	4.841160e+00
115           	4.763842e+00
116           	4.720307e+00
117           	4.721831e+00
118           	4.773051e+00
119           	4.867067e+00
120           	4.990035e+00
121           	5.125139e+00
122           	5.250308e+00
123           	5.346980e+00
124           	5.408878e+00
125           	5.443361e+00
126           	5.462244e+00
127           	5.476574e+00
128           	5.494290e+00
129           	5.513105e+00
130           	5.524007e+00
131           	5.514161e+00
132           	5.477130e+00
133           	5.419818e+00
134           	5.360449e+00
135           	5.319665e+00
136           	5.308296e+00
137           	5.327837e+00
138           	5.372005e+00
139           	5.428077e+00
140           	5.485493e+00
141           	5.542089e+00
142           	5.602312e+00
143           	5.672519e+00
144           	5.754933e+00
145           	5.848653e+00
146           	5.940441e+00
147           	6.012149e+00
148           	6.047330e+00
149           	6.040799e+00
150           	5.993452e+00
151           	5.916259e+00
