# Region      : cellZone box
# Cells       : 2628800
# Volume      : 5.249270e-06
# Time        	volAverage(vorticity)
1             	4.522388e-05
2             	2.746168e-04
3             	9.699287e-04
4             	1.050969e-03
5             	2.907026e-03
6             	4.303535e-03
7             	5.889911e-03
8             	7.522538e-03
9             	7.319226e-03
10            	7.724261e-03
11            	6.889668e-03
12            	9.334882e-03
13            	1.333249e-02
14            	1.732857e-02
15            	2.045863e-02
16            	2.313428e-02
17            	2.500451e-02
18            	2.687320e-02
19            	2.817469e-02
20            	2.876938e-02
21            	2.922093e-02
22            	2.937641e-02
23            	2.946039e-02
24            	2.875058e-02
25            	2.732644e-02
26            	2.502079e-02
27            	2.210982e-02
28            	1.904315e-02
29            	1.649693e-02
30            	1.494522e-02
31            	1.494684e-02
32            	1.666685e-02
33            	2.018885e-02
34            	2.515067e-02
35            	3.110916e-02
36            	3.749321e-02
37            	4.362738e-02
38            	4.868284e-02
39            	5.180177e-02
40            	5.285092e-02
41            	5.240337e-02
42            	5.116402e-02
43            	4.937159e-02
44            	4.676472e-02
45            	4.311892e-02
46            	3.839516e-02
47            	3.280367e-02
48            	2.683169e-02
49            	2.117136e-02
50            	1.641147e-02
51            	1.307509e-02
52            	1.119338e-02
53            	1.041244e-02
54            	1.033950e-02
55            	1.074432e-02
56            	1.129968e-02
57            	1.163428e-02
58            	1.168463e-02
59            	1.167408e-02
60            	1.107580e-02
61            	9.761604e-03
62            	8.258283e-03
63            	7.127815e-03
64            	6.752322e-03
65            	7.147377e-03
66            	8.225289e-03
67            	9.738500e-03
68            	1.113702e-02
69            	1.215771e-02
70            	1.259798e-02
71            	1.247492e-02
72            	1.187232e-02
73            	1.094910e-02
74            	9.785518e-03
75            	8.565487e-03
76            	7.711920e-03
77            	7.281936e-03
78            	7.337712e-03
79            	7.683604e-03
80            	8.430919e-03
81            	9.383779e-03
82            	1.014758e-02
83            	1.089969e-02
84            	1.131999e-02
85            	1.115653e-02
86            	1.003987e-02
87            	7.575118e-03
88            	4.690586e-03
89            	2.990250e-03
90            	4.579418e-03
91            	7.345183e-03
92            	9.673565e-03
93            	1.076032e-02
94            	1.077455e-02
95            	9.321462e-03
96            	6.929025e-03
97            	4.505856e-03
98            	3.526102e-03
99            	4.572814e-03
100           	5.941479e-03
101           	6.825781e-03
102           	6.906574e-03
103           	6.095039e-03
104           	4.446791e-03
105           	2.012878e-03
106           	9.258014e-04
107           	3.655927e-03
108           	5.876380e-03
109           	7.165318e-03
110           	7.680611e-03
111           	7.210319e-03
112           	5.899008e-03
113           	4.218959e-03
114           	3.718675e-03
115           	5.350022e-03
116           	7.374448e-03
117           	8.672456e-03
118           	8.923175e-03
119           	8.091843e-03
120           	6.246546e-03
121           	3.754878e-03
122           	2.027622e-03
123           	3.998751e-03
124           	7.194250e-03
125           	1.033411e-02
126           	1.314428e-02
127           	1.528765e-02
128           	1.624251e-02
129           	1.563077e-02
130           	1.338052e-02
131           	9.675796e-03
132           	4.983237e-03
133           	1.683859e-03
134           	8.569120e-03
135           	1.553430e-02
136           	2.139519e-02
137           	2.493091e-02
138           	2.617127e-02
139           	2.480913e-02
140           	2.069363e-02
141           	1.482286e-02
142           	7.636710e-03
143           	3.589775e-04
144           	7.254980e-03
145           	1.302306e-02
146           	1.760674e-02
147           	2.041620e-02
148           	2.170992e-02
149           	2.211864e-02
150           	2.216100e-02
151           	2.412452e-02
152           	2.707071e-02
153           	3.112504e-02
154           	3.578976e-02
155           	4.077285e-02
156           	4.447355e-02
157           	4.527529e-02
158           	4.086793e-02
159           	2.988497e-02
160           	1.413575e-02
161           	7.167823e-03
162           	3.152811e-02
163           	5.804106e-02
164           	7.907920e-02
165           	9.995109e-02
166           	1.177367e-01
167           	1.258736e-01
168           	1.190993e-01
169           	1.066491e-01
170           	8.735262e-02
171           	5.055469e-02
172           	6.825992e-04
173           	5.874893e-02
174           	1.180692e-01
175           	1.724937e-01
176           	2.136989e-01
177           	2.332589e-01
178           	2.304676e-01
179           	2.100746e-01
180           	1.774043e-01
181           	1.338181e-01
182           	8.151821e-02
183           	2.632788e-02
184           	4.271804e-02
185           	1.061669e-01
186           	1.657485e-01
187           	2.179382e-01
188           	2.648516e-01
189           	2.994192e-01
190           	3.171764e-01
191           	3.129719e-01
192           	2.800734e-01
193           	2.263293e-01
194           	1.589812e-01
195           	8.676712e-02
196           	2.583589e-02
197           	6.482412e-02
198           	1.195743e-01
199           	1.603838e-01
200           	1.880612e-01
201           	1.968092e-01
202           	1.861082e-01
203           	1.616641e-01
204           	1.230015e-01
205           	7.441708e-02
206           	2.468122e-02
207           	2.404444e-02
208           	6.797735e-02
209           	9.424187e-02
210           	1.038072e-01
