# Region      : cellZone box
# Cells       : 2720208
# Volume      : 5.251462e-06
# Time        	volAverage(U)
1             	4.969836e-01
2             	2.720406e+00
3             	4.039823e+00
4             	4.254208e+00
5             	3.627249e+00
6             	2.572768e+00
7             	1.667724e+00
8             	9.531000e-01
9             	6.469803e-01
10            	7.170321e-01
11            	1.021307e+00
12            	1.401033e+00
13            	1.725544e+00
14            	1.917209e+00
15            	1.964985e+00
16            	1.900744e+00
17            	1.777932e+00
18            	1.649398e+00
19            	1.553926e+00
20            	1.508052e+00
21            	1.509389e+00
22            	1.542973e+00
23            	1.589290e+00
24            	1.631345e+00
25            	1.658881e+00
26            	1.669058e+00
27            	1.664733e+00
28            	1.651912e+00
29            	1.637207e+00
30            	1.625681e+00
31            	1.619797e+00
32            	1.619623e+00
33            	1.623416e+00
34            	1.628712e+00
35            	1.633294e+00
36            	1.635785e+00
37            	1.635757e+00
38            	1.633676e+00
39            	1.630567e+00
40            	1.627535e+00
41            	1.625528e+00
42            	1.625072e+00
43            	1.626018e+00
44            	1.627840e+00
45            	1.629801e+00
46            	1.631151e+00
47            	1.631445e+00
48            	1.630643e+00
49            	1.629042e+00
50            	1.627158e+00
51            	1.625498e+00
52            	1.624417e+00
53            	1.624143e+00
54            	1.624641e+00
55            	1.625689e+00
56            	1.626998e+00
57            	1.628252e+00
58            	1.629157e+00
59            	1.629573e+00
60            	1.629501e+00
61            	1.629065e+00
62            	1.628427e+00
63            	1.627729e+00
64            	1.627080e+00
65            	1.626554e+00
66            	1.626213e+00
67            	1.626111e+00
68            	1.626292e+00
69            	1.626724e+00
70            	1.627260e+00
71            	1.627775e+00
72            	1.628209e+00
73            	1.628489e+00
74            	1.628517e+00
75            	1.628304e+00
76            	1.628031e+00
77            	1.627844e+00
78            	1.627816e+00
79            	1.627939e+00
80            	1.628087e+00
81            	1.628127e+00
82            	1.627993e+00
83            	1.627708e+00
84            	1.627359e+00
85            	1.627070e+00
86            	1.626952e+00
87            	1.627058e+00
88            	1.627377e+00
89            	1.627804e+00
90            	1.628220e+00
91            	1.628548e+00
