# Region      : cellZone box
# Cells       : 2720208
# Volume      : 5.251462e-06
# Time        	volAverage(k)
1             	8.737793e-03
2             	1.090162e-02
3             	8.943109e-03
4             	1.126932e-02
5             	1.308955e-02
6             	1.199655e-02
7             	9.570518e-03
8             	8.164658e-03
9             	7.426106e-03
10            	6.725483e-03
11            	6.061493e-03
12            	5.597791e-03
13            	5.590203e-03
14            	5.912304e-03
15            	6.269100e-03
16            	6.444380e-03
17            	6.408882e-03
18            	6.257504e-03
19            	6.066162e-03
20            	5.882504e-03
21            	5.742790e-03
22            	5.658402e-03
23            	5.621212e-03
24            	5.609149e-03
25            	5.596791e-03
26            	5.555524e-03
27            	5.473990e-03
28            	5.348714e-03
29            	5.184985e-03
30            	4.997358e-03
31            	4.794812e-03
32            	4.585127e-03
33            	4.378810e-03
34            	4.177840e-03
35            	3.984793e-03
36            	3.803794e-03
37            	3.636607e-03
38            	3.482917e-03
39            	3.344282e-03
40            	3.344282e-03
41            	3.189842e-03
42            	3.189842e-03
43            	3.189842e-03
44            	3.189842e-03
45            	3.189842e-03
46            	3.189842e-03
47            	3.189842e-03
48            	3.189842e-03
49            	3.189842e-03
50            	3.189842e-03
51            	3.189842e-03
52            	3.189842e-03
53            	2.830462e-03
54            	2.830462e-03
55            	2.611937e-03
56            	2.486552e-03
57            	2.410662e-03
58            	2.363085e-03
59            	2.332029e-03
60            	2.312001e-03
61            	2.312001e-03
62            	2.312001e-03
63            	2.312001e-03
64            	2.312001e-03
65            	2.312001e-03
66            	2.312001e-03
67            	2.312001e-03
68            	2.312001e-03
69            	2.312001e-03
70            	2.312001e-03
71            	2.312001e-03
72            	2.312001e-03
73            	2.312001e-03
74            	2.312001e-03
75            	2.312001e-03
76            	2.312001e-03
77            	2.312001e-03
78            	2.312001e-03
79            	2.312001e-03
80            	2.312001e-03
81            	2.312001e-03
82            	2.312001e-03
83            	2.248461e-03
84            	2.250479e-03
85            	2.277982e-03
86            	2.277982e-03
87            	2.277982e-03
88            	2.277982e-03
89            	2.277982e-03
90            	2.277982e-03
91            	2.230653e-03
92            	2.200047e-03
93            	2.173886e-03
94            	2.146680e-03
95            	2.117128e-03
96            	2.086807e-03
97            	2.057515e-03
98            	2.031458e-03
99            	2.010270e-03
100           	1.994523e-03
101           	1.984693e-03
102           	1.980946e-03
103           	1.981958e-03
104           	1.987181e-03
105           	1.995505e-03
106           	2.004377e-03
107           	2.013490e-03
108           	2.021266e-03
109           	2.027237e-03
110           	2.032275e-03
111           	2.036592e-03
112           	2.040967e-03
113           	2.045734e-03
114           	2.051239e-03
115           	2.058134e-03
116           	2.065936e-03
117           	2.074970e-03
118           	2.085029e-03
119           	2.095069e-03
120           	2.105350e-03
121           	2.115127e-03
122           	2.123990e-03
123           	2.131854e-03
124           	2.137948e-03
125           	2.141666e-03
126           	2.142638e-03
127           	2.140455e-03
128           	2.135254e-03
129           	2.127920e-03
130           	2.118180e-03
131           	2.106939e-03
132           	2.095494e-03
133           	2.084560e-03
134           	2.075046e-03
135           	2.068062e-03
136           	2.064856e-03
137           	2.065003e-03
138           	2.067963e-03
139           	2.073733e-03
140           	2.082479e-03
141           	2.093213e-03
142           	2.104218e-03
143           	2.114695e-03
144           	2.123698e-03
145           	2.130588e-03
146           	2.134965e-03
147           	2.137817e-03
148           	2.139337e-03
149           	2.139271e-03
150           	2.139039e-03
151           	2.139294e-03
152           	2.140784e-03
153           	2.143819e-03
154           	2.148402e-03
155           	2.153986e-03
156           	2.160854e-03
157           	2.168822e-03
158           	2.177535e-03
159           	2.186834e-03
160           	2.195815e-03
161           	2.204333e-03
162           	2.210745e-03
163           	2.215676e-03
164           	2.219190e-03
165           	2.221853e-03
166           	2.223689e-03
167           	2.224804e-03
168           	2.226302e-03
169           	2.228237e-03
170           	2.230465e-03
171           	2.233938e-03
172           	2.238998e-03
173           	2.244846e-03
174           	2.251574e-03
175           	2.259147e-03
176           	2.267471e-03
177           	2.276252e-03
178           	2.285485e-03
179           	2.295005e-03
180           	2.304141e-03
181           	2.313760e-03
182           	2.323693e-03
183           	2.333904e-03
184           	2.344270e-03
185           	2.354248e-03
186           	2.364265e-03
187           	2.372254e-03
188           	2.380084e-03
189           	2.388123e-03
190           	2.395974e-03
191           	2.402998e-03
192           	2.409534e-03
193           	2.415904e-03
194           	2.422782e-03
195           	2.429731e-03
196           	2.437541e-03
197           	2.447453e-03
198           	2.458622e-03
199           	2.471020e-03
200           	2.484210e-03
201           	2.497924e-03
202           	2.511912e-03
203           	2.525675e-03
204           	2.539678e-03
205           	2.553533e-03
206           	2.567383e-03
207           	2.580270e-03
208           	2.592805e-03
209           	2.604467e-03
210           	2.615857e-03
211           	2.626999e-03
212           	2.638579e-03
213           	2.638579e-03
214           	2.638579e-03
215           	2.638579e-03
216           	2.621367e-03
217           	2.629754e-03
218           	2.651581e-03
219           	2.676866e-03
220           	2.702325e-03
221           	2.725200e-03
222           	2.746905e-03
223           	2.767356e-03
224           	2.786004e-03
225           	2.804106e-03
226           	2.821278e-03
227           	2.838215e-03
228           	2.854060e-03
229           	2.869553e-03
230           	2.884563e-03
231           	2.899447e-03
232           	2.914140e-03
233           	2.929017e-03
234           	2.944197e-03
235           	2.958669e-03
236           	2.972377e-03
237           	2.984843e-03
238           	2.996352e-03
239           	3.006515e-03
240           	3.015633e-03
241           	3.024630e-03
242           	3.033959e-03
243           	3.044226e-03
244           	3.056063e-03
245           	3.069138e-03
246           	3.083166e-03
247           	3.097261e-03
248           	3.112810e-03
249           	3.129256e-03
250           	3.144401e-03
251           	3.158383e-03
252           	3.171826e-03
253           	3.184786e-03
254           	3.197080e-03
255           	3.209487e-03
256           	3.221910e-03
257           	3.234504e-03
258           	3.245799e-03
259           	3.257760e-03
260           	3.270181e-03
261           	3.282027e-03
262           	3.294173e-03
263           	3.306701e-03
264           	3.319577e-03
265           	3.332541e-03
266           	3.345463e-03
267           	3.358790e-03
268           	3.372172e-03
269           	3.385285e-03
270           	3.396721e-03
271           	3.407608e-03
272           	3.416867e-03
273           	3.426560e-03
274           	3.435743e-03
275           	3.444800e-03
276           	3.454131e-03
277           	3.463142e-03
278           	3.472805e-03
279           	3.483539e-03
280           	3.494312e-03
281           	3.505112e-03
282           	3.515304e-03
283           	3.525043e-03
284           	3.534506e-03
285           	3.543296e-03
286           	3.552297e-03
287           	3.560464e-03
288           	3.568722e-03
289           	3.575588e-03
290           	3.582682e-03
291           	3.589893e-03
292           	3.596959e-03
293           	3.604639e-03
294           	3.612289e-03
295           	3.618967e-03
296           	3.625414e-03
297           	3.630314e-03
298           	3.635442e-03
299           	3.640025e-03
300           	3.643972e-03
301           	3.646346e-03
302           	3.647227e-03
303           	3.647625e-03
304           	3.646704e-03
305           	3.645798e-03
306           	3.645775e-03
307           	3.646360e-03
308           	3.648003e-03
309           	3.650152e-03
310           	3.652766e-03
311           	3.656623e-03
312           	3.660959e-03
313           	3.666166e-03
314           	3.671536e-03
315           	3.677895e-03
316           	3.685468e-03
317           	3.694168e-03
318           	3.703474e-03
319           	3.711725e-03
320           	3.719039e-03
321           	3.724968e-03
322           	3.728660e-03
323           	3.732459e-03
324           	3.735266e-03
325           	3.738650e-03
326           	3.741295e-03
327           	3.743934e-03
328           	3.746751e-03
329           	3.749160e-03
330           	3.749967e-03
331           	3.750545e-03
332           	3.751215e-03
333           	3.751433e-03
334           	3.750581e-03
335           	3.749903e-03
336           	3.751165e-03
337           	3.752115e-03
338           	3.753848e-03
339           	3.755887e-03
340           	3.758749e-03
341           	3.762334e-03
342           	3.767053e-03
343           	3.772632e-03
344           	3.779166e-03
345           	3.785336e-03
346           	3.790825e-03
347           	3.796077e-03
348           	3.800248e-03
349           	3.804175e-03
350           	3.806552e-03
351           	3.806462e-03
352           	3.804647e-03
353           	3.802469e-03
354           	3.800104e-03
355           	3.797296e-03
356           	3.795256e-03
357           	3.794320e-03
358           	3.794573e-03
359           	3.797449e-03
360           	3.801858e-03
361           	3.807117e-03
362           	3.812173e-03
363           	3.816937e-03
364           	3.820301e-03
365           	3.822624e-03
366           	3.824470e-03
367           	3.825653e-03
368           	3.826509e-03
369           	3.827825e-03
370           	3.828048e-03
371           	3.828169e-03
372           	3.828756e-03
373           	3.829000e-03
374           	3.828824e-03
375           	3.827785e-03
376           	3.826080e-03
377           	3.824516e-03
378           	3.822521e-03
379           	3.821097e-03
380           	3.819421e-03
381           	3.817865e-03
382           	3.817449e-03
383           	3.816790e-03
384           	3.815930e-03
385           	3.816671e-03
386           	3.817982e-03
387           	3.820706e-03
388           	3.824452e-03
389           	3.827603e-03
390           	3.830002e-03
391           	3.831429e-03
392           	3.832060e-03
393           	3.832060e-03
394           	3.814795e-03
395           	3.814795e-03
396           	3.789318e-03
397           	3.782741e-03
398           	3.785041e-03
399           	3.790799e-03
400           	3.797246e-03
401           	3.803498e-03
402           	3.809338e-03
403           	3.813547e-03
404           	3.817321e-03
405           	3.819872e-03
406           	3.821740e-03
407           	3.823928e-03
408           	3.825403e-03
409           	3.827212e-03
410           	3.828579e-03
411           	3.829955e-03
412           	3.830863e-03
413           	3.831206e-03
414           	3.831255e-03
415           	3.829357e-03
416           	3.826596e-03
417           	3.822841e-03
418           	3.818327e-03
419           	3.815360e-03
420           	3.813236e-03
421           	3.810954e-03
422           	3.809141e-03
423           	3.808553e-03
424           	3.808628e-03
425           	3.809241e-03
426           	3.810838e-03
427           	3.813058e-03
428           	3.816946e-03
429           	3.821107e-03
430           	3.825922e-03
431           	3.829929e-03
432           	3.833552e-03
433           	3.835984e-03
434           	3.836765e-03
435           	3.835665e-03
436           	3.833780e-03
437           	3.831222e-03
438           	3.829233e-03
439           	3.827050e-03
440           	3.824713e-03
441           	3.822536e-03
442           	3.820593e-03
443           	3.818341e-03
444           	3.816266e-03
445           	3.813735e-03
446           	3.812346e-03
447           	3.812452e-03
448           	3.813327e-03
449           	3.815417e-03
450           	3.817235e-03
451           	3.819478e-03
452           	3.820750e-03
453           	3.821573e-03
454           	3.822043e-03
455           	3.822090e-03
456           	3.822742e-03
457           	3.823271e-03
458           	3.824470e-03
459           	3.826104e-03
460           	3.827727e-03
461           	3.830259e-03
462           	3.831897e-03
463           	3.833282e-03
464           	3.835378e-03
465           	3.837563e-03
466           	3.839645e-03
467           	3.842404e-03
468           	3.844474e-03
469           	3.845638e-03
470           	3.845595e-03
471           	3.844344e-03
472           	3.842689e-03
473           	3.840163e-03
474           	3.838530e-03
475           	3.836656e-03
476           	3.833638e-03
477           	3.830368e-03
478           	3.828474e-03
479           	3.827463e-03
480           	3.827641e-03
481           	3.828266e-03
482           	3.829564e-03
483           	3.830817e-03
484           	3.832508e-03
485           	3.834544e-03
486           	3.836821e-03
487           	3.838095e-03
488           	3.837316e-03
489           	3.835702e-03
490           	3.834580e-03
491           	3.832763e-03
492           	3.831304e-03
493           	3.830116e-03
494           	3.828768e-03
495           	3.825973e-03
496           	3.822579e-03
497           	3.819730e-03
498           	3.816827e-03
499           	3.814303e-03
500           	3.812911e-03
501           	3.811523e-03
502           	3.811715e-03
503           	3.812837e-03
504           	3.813679e-03
505           	3.814647e-03
506           	3.814347e-03
507           	3.813929e-03
508           	3.813141e-03
509           	3.812261e-03
510           	3.811073e-03
511           	3.810113e-03
512           	3.809482e-03
513           	3.809378e-03
514           	3.810383e-03
515           	3.811393e-03
516           	3.811935e-03
517           	3.812093e-03
518           	3.811442e-03
519           	3.810872e-03
520           	3.810185e-03
521           	3.809858e-03
522           	3.809909e-03
523           	3.810669e-03
524           	3.812750e-03
525           	3.814407e-03
526           	3.816491e-03
527           	3.817800e-03
528           	3.818755e-03
529           	3.817896e-03
530           	3.816791e-03
531           	3.815593e-03
532           	3.814639e-03
533           	3.813855e-03
534           	3.813405e-03
535           	3.812590e-03
536           	3.812261e-03
537           	3.811797e-03
538           	3.811390e-03
539           	3.810174e-03
540           	3.808251e-03
541           	3.806653e-03
542           	3.805987e-03
543           	3.806206e-03
544           	3.806737e-03
545           	3.807829e-03
546           	3.809992e-03
547           	3.813620e-03
548           	3.817580e-03
549           	3.821406e-03
550           	3.823861e-03
551           	3.825540e-03
552           	3.826230e-03
553           	3.826631e-03
554           	3.826972e-03
555           	3.826480e-03
556           	3.826127e-03
557           	3.825685e-03
558           	3.825389e-03
559           	3.825115e-03
560           	3.823620e-03
561           	3.822283e-03
562           	3.819643e-03
563           	3.816510e-03
564           	3.812556e-03
565           	3.808856e-03
566           	3.806074e-03
567           	3.804292e-03
568           	3.802226e-03
569           	3.799593e-03
570           	3.797541e-03
571           	3.795434e-03
572           	3.793462e-03
573           	3.791571e-03
574           	3.789172e-03
575           	3.785982e-03
576           	3.782719e-03
577           	3.778715e-03
578           	3.773030e-03
579           	3.768574e-03
580           	3.764402e-03
581           	3.759354e-03
582           	3.754509e-03
583           	3.749718e-03
584           	3.746129e-03
585           	3.743812e-03
586           	3.741586e-03
587           	3.739858e-03
588           	3.738576e-03
589           	3.736993e-03
590           	3.735623e-03
591           	3.735230e-03
592           	3.734571e-03
593           	3.733902e-03
594           	3.731700e-03
595           	3.728906e-03
596           	3.724511e-03
597           	3.719820e-03
598           	3.715314e-03
599           	3.710223e-03
600           	3.705338e-03
601           	3.701382e-03
602           	3.697740e-03
603           	3.695153e-03
604           	3.692382e-03
605           	3.691408e-03
606           	3.689834e-03
607           	3.688217e-03
608           	3.686418e-03
609           	3.684314e-03
610           	3.681027e-03
611           	3.677737e-03
612           	3.673227e-03
613           	3.668318e-03
614           	3.663386e-03
615           	3.658490e-03
616           	3.653654e-03
617           	3.649084e-03
618           	3.645620e-03
619           	3.643356e-03
620           	3.641513e-03
621           	3.640882e-03
622           	3.640223e-03
623           	3.640168e-03
624           	3.640764e-03
625           	3.640859e-03
626           	3.641586e-03
627           	3.643208e-03
628           	3.645827e-03
629           	3.648688e-03
630           	3.650853e-03
631           	3.651259e-03
632           	3.650627e-03
633           	3.649646e-03
634           	3.648257e-03
635           	3.646154e-03
636           	3.642586e-03
637           	3.637659e-03
638           	3.633382e-03
639           	3.629636e-03
640           	3.626876e-03
641           	3.624242e-03
642           	3.620896e-03
643           	3.618001e-03
644           	3.616350e-03
645           	3.613902e-03
646           	3.612636e-03
647           	3.612636e-03
648           	3.596601e-03
649           	3.596601e-03
650           	3.575251e-03
651           	3.575251e-03
652           	3.575251e-03
653           	3.575251e-03
654           	3.522515e-03
655           	3.510089e-03
656           	3.517254e-03
657           	3.530948e-03
658           	3.544629e-03
659           	3.557027e-03
660           	3.566091e-03
661           	3.573395e-03
662           	3.579174e-03
663           	3.583647e-03
664           	3.587513e-03
665           	3.591078e-03
666           	3.593850e-03
667           	3.596576e-03
668           	3.599840e-03
669           	3.604077e-03
670           	3.607800e-03
671           	3.611888e-03
672           	3.615359e-03
673           	3.618854e-03
674           	3.621070e-03
675           	3.621663e-03
676           	3.621816e-03
677           	3.621461e-03
678           	3.621138e-03
679           	3.621256e-03
680           	3.620995e-03
681           	3.621596e-03
682           	3.623262e-03
683           	3.624419e-03
684           	3.624403e-03
685           	3.623790e-03
686           	3.622760e-03
687           	3.621383e-03
688           	3.619944e-03
689           	3.619181e-03
690           	3.619338e-03
691           	3.620776e-03
692           	3.622915e-03
693           	3.625789e-03
694           	3.628261e-03
695           	3.629447e-03
696           	3.630254e-03
697           	3.630083e-03
698           	3.628596e-03
699           	3.627190e-03
700           	3.625758e-03
701           	3.624427e-03
702           	3.623803e-03
703           	3.623132e-03
704           	3.623046e-03
705           	3.623368e-03
706           	3.623503e-03
707           	3.624187e-03
708           	3.624849e-03
709           	3.626027e-03
710           	3.627107e-03
711           	3.628330e-03
712           	3.629490e-03
713           	3.631108e-03
714           	3.632737e-03
715           	3.634490e-03
716           	3.635473e-03
717           	3.636074e-03
718           	3.635999e-03
719           	3.634825e-03
720           	3.634244e-03
721           	3.633750e-03
722           	3.633504e-03
723           	3.633705e-03
724           	3.634378e-03
725           	3.635641e-03
726           	3.637131e-03
727           	3.638181e-03
728           	3.639343e-03
729           	3.639160e-03
730           	3.638722e-03
731           	3.638925e-03
732           	3.639283e-03
733           	3.640111e-03
734           	3.641551e-03
735           	3.642707e-03
736           	3.643982e-03
737           	3.645476e-03
738           	3.647716e-03
739           	3.650012e-03
740           	3.653007e-03
741           	3.655592e-03
742           	3.658087e-03
743           	3.660292e-03
744           	3.662338e-03
745           	3.663844e-03
746           	3.665292e-03
747           	3.665988e-03
748           	3.666295e-03
749           	3.666260e-03
750           	3.666742e-03
751           	3.667867e-03
752           	3.669075e-03
753           	3.670860e-03
754           	3.672151e-03
755           	3.674240e-03
756           	3.676512e-03
757           	3.679260e-03
758           	3.681943e-03
759           	3.683279e-03
760           	3.684499e-03
761           	3.684367e-03
762           	3.684659e-03
763           	3.684516e-03
764           	3.683941e-03
765           	3.683941e-03
766           	3.683941e-03
767           	3.683941e-03
768           	3.631519e-03
769           	3.612395e-03
770           	3.611662e-03
771           	3.616558e-03
772           	3.621409e-03
773           	3.624682e-03
774           	3.626135e-03
775           	3.626263e-03
776           	3.625217e-03
777           	3.623530e-03
778           	3.621397e-03
779           	3.619087e-03
780           	3.616408e-03
781           	3.613030e-03
782           	3.610676e-03
783           	3.608181e-03
784           	3.606600e-03
785           	3.605297e-03
786           	3.603427e-03
787           	3.601700e-03
788           	3.599707e-03
789           	3.597903e-03
790           	3.595830e-03
791           	3.593575e-03
792           	3.591037e-03
793           	3.588075e-03
794           	3.585094e-03
795           	3.581418e-03
796           	3.577893e-03
797           	3.575687e-03
798           	3.574631e-03
799           	3.574190e-03
800           	3.574407e-03
