# Region      : cellZone box
# Cells       : 2720208
# Volume      : 5.251462e-06
# Time        	volAverage(vorticity)
1             	3.452023e-05
2             	4.258105e-05
3             	4.766863e-05
4             	4.053388e-04
5             	1.836913e-03
6             	7.724797e-03
7             	1.130382e-02
8             	8.962434e-03
9             	1.533785e-03
10            	1.786139e-02
11            	2.409653e-02
12            	2.223724e-02
13            	1.190260e-02
14            	4.338021e-03
15            	1.312698e-02
16            	1.336144e-02
17            	9.036436e-03
18            	9.735321e-03
19            	1.660089e-02
20            	2.269217e-02
21            	2.732456e-02
22            	3.153899e-02
23            	3.624934e-02
24            	4.144348e-02
25            	4.646803e-02
26            	5.073034e-02
27            	5.315837e-02
28            	5.037738e-02
29            	4.619791e-02
30            	4.273314e-02
31            	4.148210e-02
32            	4.286862e-02
33            	4.622514e-02
34            	5.090398e-02
35            	5.694485e-02
36            	6.324750e-02
37            	6.821773e-02
38            	7.071234e-02
39            	7.013686e-02
40            	6.609599e-02
41            	5.944617e-02
42            	5.071594e-02
43            	4.132218e-02
44            	3.169358e-02
45            	2.485096e-02
46            	2.117900e-02
47            	2.194106e-02
48            	2.588171e-02
49            	3.296934e-02
50            	4.364848e-02
51            	5.481905e-02
52            	6.473448e-02
53            	7.166213e-02
54            	7.692794e-02
55            	8.201006e-02
56            	8.601215e-02
57            	9.072030e-02
58            	9.820081e-02
59            	1.077448e-01
60            	1.175523e-01
61            	1.260101e-01
62            	1.331664e-01
63            	1.408070e-01
64            	1.507854e-01
65            	1.638215e-01
66            	1.763670e-01
67            	1.858404e-01
68            	1.927027e-01
69            	1.969210e-01
70            	1.971916e-01
71            	1.943954e-01
72            	1.907208e-01
73            	1.856223e-01
74            	1.748817e-01
75            	1.561123e-01
76            	1.306584e-01
77            	1.042787e-01
78            	8.088267e-02
79            	6.371334e-02
80            	5.380274e-02
81            	4.898215e-02
82            	4.819087e-02
83            	5.262282e-02
84            	6.204398e-02
85            	7.558303e-02
86            	9.199365e-02
87            	1.052234e-01
88            	1.071473e-01
89            	9.626038e-02
90            	7.701002e-02
91            	5.394759e-02
92            	2.998938e-02
93            	6.498320e-03
94            	1.550238e-02
95            	3.586253e-02
96            	5.449688e-02
97            	6.943069e-02
98            	8.177107e-02
99            	8.883879e-02
100           	9.045865e-02
101           	8.703825e-02
102           	8.071940e-02
103           	7.267499e-02
104           	6.450460e-02
105           	5.736197e-02
106           	5.195745e-02
107           	4.794724e-02
108           	4.456486e-02
109           	4.116779e-02
110           	3.642950e-02
111           	3.334220e-02
112           	2.853264e-02
113           	2.232514e-02
114           	2.227686e-02
115           	3.048946e-02
116           	3.774549e-02
117           	3.933341e-02
118           	3.313210e-02
119           	1.929944e-02
120           	7.290529e-03
121           	2.810576e-02
122           	5.342891e-02
123           	7.635973e-02
124           	9.466345e-02
125           	1.050382e-01
126           	1.068933e-01
127           	1.049060e-01
128           	1.047067e-01
129           	1.092459e-01
130           	1.205904e-01
131           	1.380001e-01
132           	1.545422e-01
133           	1.652342e-01
134           	1.676959e-01
135           	1.629439e-01
136           	1.514194e-01
137           	1.332087e-01
138           	1.082863e-01
139           	7.833844e-02
140           	4.557598e-02
141           	2.076727e-02
142           	3.234157e-02
143           	5.822136e-02
144           	8.634195e-02
145           	1.145068e-01
146           	1.392029e-01
147           	1.584844e-01
148           	1.713513e-01
149           	1.756529e-01
150           	1.651020e-01
151           	1.364951e-01
152           	9.195893e-02
153           	4.043152e-02
154           	3.442421e-02
155           	8.577441e-02
156           	1.359876e-01
157           	1.783237e-01
158           	2.107849e-01
159           	2.332666e-01
160           	2.456083e-01
161           	2.460331e-01
162           	2.342170e-01
163           	2.144484e-01
164           	1.912805e-01
165           	1.676564e-01
166           	1.498336e-01
167           	1.489893e-01
168           	1.701750e-01
169           	2.003064e-01
170           	2.251010e-01
171           	2.396603e-01
172           	2.478873e-01
173           	2.503951e-01
174           	2.461680e-01
175           	2.321919e-01
176           	2.082450e-01
177           	1.776872e-01
178           	1.414294e-01
179           	1.024710e-01
180           	7.139671e-02
181           	6.312372e-02
182           	7.625791e-02
183           	9.402962e-02
184           	1.036741e-01
185           	1.077065e-01
186           	1.113548e-01
187           	1.139806e-01
188           	1.142706e-01
189           	1.128300e-01
190           	1.077145e-01
191           	1.053729e-01
192           	1.015981e-01
193           	9.165328e-02
194           	8.442951e-02
195           	8.478461e-02
196           	9.301478e-02
197           	1.141996e-01
198           	1.498356e-01
199           	1.901329e-01
200           	2.218737e-01
201           	2.400730e-01
202           	2.522480e-01
203           	2.596935e-01
204           	2.715258e-01
205           	2.935308e-01
206           	3.168465e-01
207           	3.310197e-01
208           	3.264437e-01
209           	3.017916e-01
210           	2.555557e-01
211           	1.867412e-01
212           	1.078391e-01
213           	6.007360e-02
214           	8.552599e-02
215           	1.515956e-01
216           	2.150233e-01
217           	2.581309e-01
218           	2.785971e-01
219           	2.724828e-01
220           	2.530195e-01
221           	2.344097e-01
222           	2.134410e-01
223           	1.784058e-01
224           	1.379436e-01
225           	1.111420e-01
226           	1.231980e-01
227           	1.499015e-01
228           	1.570526e-01
229           	1.578415e-01
230           	1.722991e-01
231           	1.951758e-01
232           	2.202116e-01
233           	2.374497e-01
234           	2.397778e-01
235           	2.357590e-01
236           	2.251940e-01
237           	2.005200e-01
238           	1.562144e-01
239           	1.307516e-01
240           	2.071023e-01
241           	3.286003e-01
242           	4.236758e-01
243           	4.655499e-01
244           	4.625448e-01
245           	4.241893e-01
246           	3.644913e-01
247           	2.836656e-01
248           	1.796382e-01
249           	8.910798e-02
250           	1.793295e-01
251           	3.446317e-01
252           	5.031363e-01
253           	6.341652e-01
254           	7.255313e-01
255           	7.678655e-01
256           	7.559746e-01
257           	6.943792e-01
258           	5.926782e-01
259           	4.493587e-01
260           	2.768472e-01
261           	1.966765e-01
262           	3.660772e-01
263           	5.809097e-01
264           	7.468190e-01
265           	8.306975e-01
266           	8.372391e-01
267           	7.953765e-01
268           	7.140788e-01
269           	5.892004e-01
270           	4.329346e-01
271           	3.585064e-01
272           	4.976398e-01
273           	7.371766e-01
274           	9.641479e-01
275           	1.140394e+00
276           	1.260634e+00
277           	1.333270e+00
278           	1.362379e+00
279           	1.340420e+00
280           	1.252594e+00
281           	1.097280e+00
282           	8.920130e-01
283           	6.764073e-01
284           	5.032840e-01
285           	4.534226e-01
286           	5.615308e-01
287           	7.225615e-01
288           	8.516488e-01
289           	9.192910e-01
290           	9.425538e-01
291           	9.435979e-01
292           	9.416520e-01
293           	9.384055e-01
294           	9.090562e-01
295           	8.144462e-01
296           	6.534892e-01
297           	4.785396e-01
298           	4.246339e-01
299           	5.597329e-01
300           	7.643388e-01
301           	9.614509e-01
302           	1.144785e+00
303           	1.321662e+00
304           	1.468344e+00
305           	1.552102e+00
306           	1.576491e+00
307           	1.543233e+00
308           	1.426738e+00
309           	1.212561e+00
